time,open,high,low,close,tick_volume,spread,real_volume
2024-09-24 15:10:00,5786.25,5786.5,5782.75,5785.0,52,25,146
2024-09-24 15:15:00,5785.5,5786.25,5783.25,5786.25,25,25,42
2024-09-24 15:20:00,5785.75,5786.75,5784.75,5784.75,15,25,80
2024-09-24 15:25:00,5784.75,5785.0,5782.25,5782.25,16,25,56
2024-09-24 15:30:00,5782.25,5783.5,5776.0,5783.0,138,25,918
2024-09-24 15:35:00,5783.5,5786.75,5783.25,5786.75,14,25,32
2024-09-24 15:40:00,5787.0,5787.5,5784.75,5784.75,21,25,53
2024-09-24 15:45:00,5785.0,5785.75,5784.25,5785.75,10,25,56
2024-09-24 15:50:00,5784.0,5786.75,5784.0,5786.75,11,25,44
2024-09-24 15:55:00,5787.0,5787.25,5784.0,5786.0,18,25,104
2024-09-24 16:00:00,5785.5,5787.0,5785.0,5786.5,41,25,276
2024-09-24 16:05:00,5787.25,5788.75,5787.0,5787.75,40,25,92
2024-09-24 16:10:00,5787.75,5788.25,5785.75,5787.0,23,25,68
2024-09-24 16:15:00,5787.0,5788.25,5787.0,5787.25,10,25,19
2024-09-24 16:20:00,5787.5,5788.0,5787.25,5788.0,9,25,20
2024-09-24 16:25:00,5788.25,5788.25,5787.25,5788.0,6,25,21
2024-09-24 16:30:00,5788.0,5788.0,5786.25,5786.25,9,25,40
2024-09-24 16:35:00,5785.75,5786.5,5785.5,5786.0,11,25,26
2024-09-24 16:40:00,5786.0,5788.5,5786.0,5786.75,48,25,198
2024-09-24 16:45:00,5787.75,5789.5,5787.25,5788.5,16,25,130
2024-09-24 16:50:00,5788.25,5789.25,5786.25,5786.75,87,25,343
2024-09-24 16:55:00,5787.25,5796.0,5785.25,5794.5,188,25,643
2024-09-24 17:00:00,5794.75,5795.0,5791.5,5791.5,59,25,291
2024-09-24 17:05:00,5792.0,5792.25,5791.0,5791.25,12,25,78
2024-09-24 17:10:00,5791.25,5793.0,5791.25,5792.75,11,25,124
2024-09-24 17:15:00,5792.5,5794.25,5792.5,5792.75,7,25,12
2024-09-24 17:20:00,5793.5,5793.5,5793.5,5793.5,1,25,20
2024-09-24 17:25:00,5794.25,5794.5,5794.25,5794.5,6,25,31
2024-09-24 17:30:00,5795.0,5795.0,5794.5,5794.75,24,25,263
2024-09-24 17:35:00,5795.0,5795.75,5795.0,5795.5,27,25,184
2024-09-24 17:40:00,5795.25,5795.75,5795.25,5795.75,16,25,86
2024-09-24 17:45:00,5795.25,5795.75,5795.0,5795.5,17,25,105
2024-09-24 17:50:00,5795.75,5796.0,5795.0,5795.5,21,25,130
2024-09-25 09:00:00,5788.5,5792.5,5788.5,5791.0,26,25,52
2024-09-25 09:05:00,5791.75,5791.75,5789.75,5790.0,10,25,19
2024-09-25 09:10:00,5789.25,5790.0,5789.0,5790.0,7,25,12
2024-09-25 09:15:00,5790.0,5791.75,5790.0,5791.0,10,25,24
2024-09-25 09:20:00,5792.0,5792.5,5792.0,5792.0,14,25,307
2024-09-25 09:25:00,5792.25,5792.75,5791.0,5791.0,6,25,6
2024-09-25 09:30:00,5792.5,5792.5,5792.5,5792.5,1,25,1
2024-09-25 09:35:00,5791.75,5791.75,5791.75,5791.75,2,25,72
2024-09-25 09:40:00,5792.5,5793.5,5792.5,5793.5,5,25,23
2024-09-25 09:45:00,5791.75,5791.75,5789.5,5790.25,18,25,50
2024-09-25 09:50:00,5791.0,5792.5,5791.0,5792.25,13,25,74
2024-09-25 09:55:00,5792.25,5792.25,5792.25,5792.25,1,25,1
2024-09-25 10:00:00,5792.0,5792.25,5790.5,5790.5,12,25,44
2024-09-25 10:05:00,5790.5,5793.25,5790.5,5793.25,9,25,18
2024-09-25 10:10:00,5793.25,5793.25,5792.0,5792.25,17,25,27
2024-09-25 10:15:00,5792.25,5793.0,5792.0,5793.0,9,25,13
2024-09-25 10:20:00,5792.75,5793.25,5792.0,5792.0,18,25,39
2024-09-25 10:25:00,5793.0,5794.5,5792.5,5793.0,24,25,110
2024-09-25 10:30:00,5792.75,5799.5,5792.75,5799.25,74,25,250
2024-09-25 10:35:00,5796.5,5799.0,5795.0,5796.0,54,25,223
2024-09-25 10:40:00,5796.0,5797.25,5789.25,5794.25,131,25,586
2024-09-25 10:45:00,5795.25,5796.75,5793.0,5793.25,69,25,205
2024-09-25 10:50:00,5792.5,5795.5,5791.0,5795.5,46,25,248
2024-09-25 10:55:00,5793.75,5796.25,5793.25,5796.25,21,25,33
2024-09-25 11:00:00,5797.0,5798.0,5795.25,5796.75,29,25,169
2024-09-25 11:05:00,5798.25,5800.5,5797.5,5797.5,49,25,165
2024-09-25 11:10:00,5798.5,5799.0,5794.75,5797.25,39,25,149
2024-09-25 11:15:00,5797.25,5798.5,5796.5,5797.75,8,25,14
2024-09-25 11:20:00,5796.0,5796.0,5792.0,5795.0,37,25,76
2024-09-25 11:25:00,5794.5,5795.5,5791.0,5791.5,50,25,441
2024-09-25 11:30:00,5790.5,5793.0,5790.0,5793.0,30,25,64
2024-09-25 11:35:00,5793.0,5795.0,5791.5,5793.25,19,25,52
2024-09-25 11:40:00,5794.25,5795.25,5791.5,5792.75,41,25,276
2024-09-25 11:45:00,5793.0,5793.5,5787.75,5789.25,76,25,190
2024-09-25 11:50:00,5787.5,5793.5,5787.25,5793.25,38,25,81
2024-09-25 11:55:00,5793.25,5794.0,5791.75,5793.5,61,25,182
2024-09-25 12:00:00,5793.5,5795.0,5792.0,5794.0,20,25,23
2024-09-25 12:05:00,5793.5,5794.0,5792.25,5794.0,40,25,178
2024-09-25 12:10:00,5793.25,5793.25,5789.5,5790.5,40,25,55
2024-09-25 12:15:00,5790.5,5792.25,5788.25,5791.5,25,25,41
2024-09-25 12:20:00,5792.0,5792.0,5790.75,5792.0,6,25,14
2024-09-25 12:25:00,5790.5,5791.0,5788.5,5788.5,19,25,39
2024-09-25 12:30:00,5788.5,5789.75,5787.75,5788.75,19,25,66
2024-09-25 12:35:00,5790.0,5793.25,5789.25,5791.75,29,25,67
2024-09-25 12:40:00,5792.75,5793.75,5788.25,5788.5,21,25,50
2024-09-25 12:45:00,5789.25,5789.5,5787.25,5789.25,17,25,49
2024-09-25 12:50:00,5787.75,5787.75,5784.75,5786.25,67,25,261
2024-09-25 12:55:00,5787.25,5789.75,5784.75,5789.25,37,25,133
2024-09-25 13:00:00,5787.5,5788.25,5787.0,5787.25,11,25,17
2024-09-25 13:05:00,5787.25,5788.0,5784.25,5788.0,27,25,118
2024-09-25 13:10:00,5788.5,5789.5,5787.25,5787.5,16,25,35
2024-09-25 13:15:00,5787.75,5787.75,5785.25,5786.0,18,25,32
2024-09-25 13:20:00,5786.75,5788.0,5786.0,5787.0,13,25,118
2024-09-25 13:25:00,5788.25,5788.5,5787.5,5787.5,10,25,21
2024-09-25 13:30:00,5786.75,5788.0,5784.25,5788.0,35,25,116
2024-09-25 13:35:00,5785.5,5786.75,5785.25,5786.75,3,25,4
2024-09-25 13:40:00,5785.25,5785.25,5783.0,5784.25,24,25,75
2024-09-25 13:45:00,5784.0,5784.0,5781.25,5782.0,28,25,152
2024-09-25 13:50:00,5783.75,5786.5,5783.75,5785.25,25,25,82
2024-09-25 13:55:00,5784.75,5784.75,5780.75,5780.75,24,25,62
2024-09-25 14:00:00,5780.75,5781.0,5773.0,5779.25,132,25,642
2024-09-25 14:05:00,5779.0,5783.5,5778.25,5778.75,32,25,48
2024-09-25 14:10:00,5779.75,5779.75,5777.0,5778.5,8,25,15
2024-09-25 14:15:00,5777.5,5781.25,5777.5,5780.0,9,25,15
2024-09-25 14:20:00,5779.0,5779.5,5779.0,5779.0,8,25,28
2024-09-25 14:25:00,5780.0,5780.0,5779.5,5779.75,4,25,14
2024-09-25 14:30:00,5777.5,5779.0,5774.75,5775.5,29,25,163
2024-09-25 14:35:00,5774.5,5777.75,5770.75,5776.5,64,25,172
2024-09-25 14:40:00,5775.5,5776.25,5773.0,5775.75,47,25,235
2024-09-25 14:45:00,5774.0,5774.0,5770.75,5772.0,18,25,25
2024-09-25 14:50:00,5775.5,5780.5,5775.5,5780.5,44,25,79
2024-09-25 14:55:00,5781.25,5784.0,5780.5,5784.0,26,25,73
2024-09-25 15:00:00,5784.0,5785.25,5780.25,5782.25,26,25,49
2024-09-25 15:05:00,5781.25,5782.0,5777.25,5778.75,42,25,99
2024-09-25 15:10:00,5778.25,5779.0,5774.75,5776.0,27,25,71
2024-09-25 15:15:00,5774.5,5778.75,5771.5,5778.25,50,25,236
2024-09-25 15:20:00,5776.75,5778.5,5776.75,5778.5,5,25,13
2024-09-25 15:25:00,5779.5,5783.25,5779.5,5783.0,15,25,35
2024-09-25 15:30:00,5782.5,5782.5,5779.5,5780.75,13,25,25
2024-09-25 15:35:00,5783.5,5784.0,5781.5,5781.75,21,25,58
2024-09-25 15:40:00,5781.0,5782.0,5781.0,5782.0,7,25,15
2024-09-25 15:45:00,5782.75,5783.0,5781.75,5783.0,13,25,16
2024-09-25 15:50:00,5783.5,5783.5,5781.0,5782.25,8,25,8
2024-09-25 15:55:00,5782.0,5782.0,5778.75,5782.0,27,25,82
2024-09-25 16:00:00,5780.5,5784.0,5780.5,5783.5,28,25,140
2024-09-25 16:05:00,5783.5,5783.5,5781.0,5781.0,24,25,69
2024-09-25 16:10:00,5782.75,5782.75,5780.0,5780.5,16,25,76
2024-09-25 16:15:00,5780.0,5780.5,5778.75,5779.0,15,25,28
2024-09-25 16:20:00,5778.75,5780.25,5778.25,5780.25,25,25,174
2024-09-25 16:25:00,5779.75,5779.75,5779.0,5779.75,6,25,22
2024-09-25 16:30:00,5778.0,5778.5,5777.25,5778.5,13,25,36
2024-09-25 16:35:00,5778.25,5779.0,5775.0,5776.0,17,25,37
2024-09-25 16:40:00,5776.25,5776.25,5775.25,5776.0,4,25,18
2024-09-25 16:45:00,5777.75,5779.25,5776.5,5778.25,20,25,51
2024-09-25 16:50:00,5779.0,5780.25,5777.5,5779.75,15,25,53
2024-09-25 16:55:00,5780.0,5783.0,5777.75,5781.5,87,25,189
2024-09-25 17:00:00,5782.0,5785.75,5780.75,5784.0,81,25,339
2024-09-25 17:05:00,5785.0,5785.25,5784.25,5784.25,10,25,19
2024-09-25 17:10:00,5784.5,5786.25,5783.75,5786.25,19,25,61
2024-09-25 17:15:00,5786.25,5786.25,5784.5,5784.75,13,25,42
2024-09-25 17:20:00,5784.25,5784.25,5783.0,5783.0,14,25,25
2024-09-25 17:25:00,5784.0,5784.25,5783.75,5784.0,24,25,292
2024-09-25 17:30:00,5784.5,5784.5,5784.5,5784.5,6,25,21
2024-09-25 17:40:00,5785.0,5785.25,5784.5,5784.75,17,25,204
2024-09-25 17:45:00,5784.5,5785.5,5784.25,5785.0,10,25,102
2024-09-25 17:50:00,5785.25,5787.0,5784.75,5787.0,13,25,146
2024-09-26 09:00:00,5823.25,5824.25,5821.0,5822.75,177,25,302
2024-09-26 09:05:00,5822.0,5822.75,5820.5,5821.25,31,25,50
2024-09-26 09:10:00,5821.0,5823.5,5821.0,5823.5,28,25,55
2024-09-26 09:15:00,5823.75,5826.0,5823.25,5824.5,53,25,191
2024-09-26 09:20:00,5824.0,5827.5,5824.0,5827.0,24,25,94
2024-09-26 09:25:00,5827.0,5829.0,5826.25,5826.75,41,25,219
2024-09-26 09:30:00,5828.0,5829.0,5823.0,5826.0,72,25,250
2024-09-26 09:35:00,5827.75,5829.25,5825.0,5825.5,22,25,58
2024-09-26 09:40:00,5825.0,5827.75,5824.25,5827.75,18,25,63
2024-09-26 09:45:00,5826.25,5827.0,5825.75,5826.0,10,25,33
2024-09-26 09:50:00,5826.0,5829.0,5826.0,5828.25,19,25,42
2024-09-26 09:55:00,5828.75,5828.75,5826.75,5827.0,16,25,22
2024-09-26 10:00:00,5827.25,5828.5,5826.75,5828.5,14,25,18
2024-09-26 10:05:00,5829.0,5831.25,5829.0,5831.0,30,25,78
2024-09-26 10:10:00,5830.5,5831.25,5829.75,5829.75,21,25,57
2024-09-26 10:15:00,5830.0,5830.5,5829.0,5830.5,15,25,40
2024-09-26 10:20:00,5829.75,5829.75,5828.0,5828.5,32,25,127
2024-09-26 10:25:00,5828.0,5828.25,5825.75,5825.75,51,25,315
2024-09-26 10:30:00,5825.5,5828.0,5816.75,5816.75,130,25,436
2024-09-26 10:35:00,5819.0,5822.25,5814.75,5817.5,61,25,306
2024-09-26 10:40:00,5817.0,5817.5,5814.5,5817.5,47,25,176
2024-09-26 10:45:00,5817.5,5819.25,5815.0,5816.0,57,25,279
2024-09-26 10:50:00,5816.75,5818.25,5815.0,5816.75,20,25,31
2024-09-26 10:55:00,5815.25,5817.5,5813.0,5817.5,31,25,85
2024-09-26 11:00:00,5817.5,5822.5,5813.5,5813.5,68,25,324
2024-09-26 11:05:00,5813.75,5813.75,5809.5,5811.75,64,25,157
2024-09-26 11:10:00,5811.0,5814.75,5811.0,5813.75,23,25,65
2024-09-26 11:15:00,5813.75,5814.25,5811.75,5811.75,22,25,100
2024-09-26 11:20:00,5812.5,5812.5,5807.0,5808.75,37,25,96
2024-09-26 11:25:00,5808.25,5810.0,5805.5,5806.75,50,25,154
2024-09-26 11:30:00,5808.25,5808.25,5805.0,5807.0,34,25,81
2024-09-26 11:35:00,5809.5,5815.0,5807.75,5814.5,55,25,153
2024-09-26 11:40:00,5814.5,5814.5,5808.0,5809.0,50,25,116
2024-09-26 11:45:00,5811.0,5813.25,5804.75,5807.0,75,25,306
2024-09-26 11:50:00,5806.5,5807.25,5799.75,5801.0,101,25,406
2024-09-26 11:55:00,5802.0,5802.25,5792.25,5794.25,96,25,278
2024-09-26 12:00:00,5794.0,5798.5,5790.25,5798.5,74,25,454
2024-09-26 12:05:00,5798.25,5803.0,5798.0,5800.25,52,25,131
2024-09-26 12:10:00,5799.0,5799.5,5793.5,5795.0,70,25,561
2024-09-26 12:15:00,5796.0,5797.0,5793.5,5794.25,20,25,56
2024-09-26 12:20:00,5794.75,5794.75,5793.75,5794.25,10,25,31
2024-09-26 12:25:00,5792.75,5795.25,5791.25,5795.25,44,25,183
2024-09-26 12:30:00,5792.25,5795.25,5791.0,5793.0,25,25,260
2024-09-26 12:35:00,5793.0,5795.75,5792.75,5795.75,12,25,35
2024-09-26 12:40:00,5797.5,5798.0,5796.5,5797.25,16,25,60
2024-09-26 12:45:00,5799.0,5801.0,5797.5,5797.5,30,25,86
2024-09-26 12:50:00,5798.75,5802.5,5798.0,5802.5,29,25,152
2024-09-26 12:55:00,5803.0,5806.75,5802.5,5804.75,82,25,347
2024-09-26 13:00:00,5805.0,5805.0,5796.5,5798.0,52,25,162
2024-09-26 13:05:00,5796.25,5800.75,5796.25,5800.25,10,25,30
2024-09-26 13:10:00,5799.5,5799.5,5795.25,5796.25,17,25,33
2024-09-26 13:15:00,5797.25,5797.75,5795.75,5795.75,7,25,7
2024-09-26 13:20:00,5795.75,5795.75,5793.0,5795.25,19,25,30
2024-09-26 13:25:00,5794.5,5797.75,5793.25,5793.25,18,25,96
2024-09-26 13:30:00,5793.25,5794.0,5791.25,5791.25,28,25,55
2024-09-26 13:35:00,5792.5,5794.0,5792.25,5794.0,6,25,30
2024-09-26 13:40:00,5792.75,5793.25,5789.5,5793.0,37,25,261
2024-09-26 13:45:00,5793.5,5794.5,5793.5,5794.0,4,25,11
2024-09-26 13:50:00,5791.5,5793.0,5791.5,5791.5,11,25,30
2024-09-26 13:55:00,5791.5,5791.75,5790.0,5791.5,31,25,117
2024-09-26 14:00:00,5792.0,5795.25,5791.75,5795.25,30,25,84
2024-09-26 14:05:00,5794.75,5795.0,5790.5,5790.5,23,25,104
2024-09-26 14:10:00,5792.0,5792.75,5789.0,5790.5,13,25,51
2024-09-26 14:15:00,5789.0,5789.75,5780.0,5783.0,113,25,290
2024-09-26 14:20:00,5782.25,5787.0,5782.25,5785.75,45,25,217
2024-09-26 14:25:00,5785.0,5790.5,5785.0,5790.5,31,25,110
2024-09-26 14:30:00,5791.75,5796.25,5791.75,5794.0,60,25,299
2024-09-26 14:35:00,5794.0,5795.0,5793.5,5794.25,21,25,143
2024-09-26 14:40:00,5795.0,5797.25,5794.75,5796.25,41,25,292
2024-09-26 14:45:00,5797.0,5797.75,5796.0,5797.0,24,25,115
2024-09-26 14:50:00,5797.0,5797.5,5795.5,5797.5,15,25,64
2024-09-26 14:55:00,5797.5,5798.5,5796.5,5797.0,17,25,41
2024-09-26 15:00:00,5797.25,5799.0,5797.25,5798.0,17,25,178
2024-09-26 15:05:00,5798.25,5799.0,5797.75,5799.0,12,25,36
2024-09-26 15:10:00,5798.75,5804.0,5798.25,5803.5,69,25,268
2024-09-26 15:15:00,5804.25,5808.25,5804.0,5804.5,94,25,472
2024-09-26 15:20:00,5804.0,5806.25,5804.0,5806.0,18,25,86
2024-09-26 15:25:00,5804.5,5805.5,5804.5,5805.25,18,25,124
2024-09-26 15:30:00,5804.75,5804.75,5802.0,5802.5,27,25,87
2024-09-26 15:35:00,5802.75,5803.75,5800.5,5803.25,24,25,66
2024-09-26 15:40:00,5802.75,5804.5,5801.5,5801.5,15,25,64
2024-09-26 15:45:00,5801.5,5802.0,5801.0,5801.0,12,25,38
2024-09-26 15:50:00,5801.0,5804.0,5801.0,5804.0,18,25,30
2024-09-26 15:55:00,5803.5,5805.25,5803.25,5803.25,37,25,113
2024-09-26 16:00:00,5802.5,5803.5,5801.5,5802.75,19,25,50
2024-09-26 16:05:00,5803.0,5803.0,5802.25,5802.75,7,25,9
2024-09-26 16:10:00,5803.0,5806.0,5802.0,5804.5,24,25,46
2024-09-26 16:15:00,5803.75,5804.5,5803.5,5804.5,6,25,36
2024-09-26 16:20:00,5804.75,5805.25,5803.5,5803.5,20,25,100
2024-09-26 16:25:00,5804.5,5804.5,5800.75,5802.25,45,25,164
2024-09-26 16:30:00,5802.75,5802.75,5799.75,5801.5,20,25,67
2024-09-26 16:35:00,5800.5,5801.5,5800.5,5801.25,12,25,25
2024-09-26 16:40:00,5802.25,5802.25,5801.5,5802.0,8,25,40
2024-09-26 16:45:00,5802.5,5804.25,5802.5,5803.5,11,25,26
2024-09-26 16:50:00,5804.25,5804.25,5801.0,5804.0,17,25,39
2024-09-26 16:55:00,5804.25,5810.0,5802.0,5804.75,177,25,763
2024-09-26 17:00:00,5806.0,5807.25,5804.0,5804.75,32,25,118
2024-09-26 17:05:00,5805.5,5808.25,5805.0,5807.75,30,25,54
2024-09-26 17:10:00,5807.75,5807.75,5805.75,5805.75,16,25,35
2024-09-26 17:15:00,5806.0,5807.25,5805.75,5806.0,11,25,32
2024-09-26 17:20:00,5805.75,5806.25,5805.75,5806.0,11,25,89
2024-09-26 17:25:00,5805.75,5805.75,5805.75,5805.75,1,25,2
2024-09-26 17:30:00,5806.25,5806.75,5806.0,5806.75,4,25,11
2024-09-26 17:35:00,5806.5,5806.75,5806.5,5806.75,2,25,391
2024-09-26 17:40:00,5806.5,5806.5,5806.0,5806.25,5,25,16
2024-09-26 17:45:00,5806.0,5806.5,5805.75,5806.25,11,25,35
2024-09-26 17:50:00,5805.5,5807.0,5805.5,5806.75,18,25,118
2024-09-27 09:00:00,5805.75,5808.5,5802.5,5807.75,27,25,42
2024-09-27 09:05:00,5808.25,5809.5,5808.25,5809.0,19,25,102
2024-09-27 09:10:00,5809.0,5809.0,5808.25,5809.0,18,25,213
2024-09-27 09:15:00,5809.0,5809.5,5808.75,5809.0,9,25,35
2024-09-27 09:20:00,5809.0,5809.5,5808.25,5808.25,10,25,112
2024-09-27 09:25:00,5810.0,5810.0,5809.25,5809.5,11,25,21
2024-09-27 09:30:00,5810.0,5815.0,5808.75,5812.0,186,25,686
2024-09-27 09:35:00,5812.5,5817.25,5812.5,5817.25,37,25,131
2024-09-27 09:40:00,5817.5,5817.75,5815.25,5816.5,50,25,231
2024-09-27 09:45:00,5817.25,5819.25,5817.25,5818.75,28,25,76
2024-09-27 09:50:00,5817.5,5817.5,5812.0,5812.0,54,25,185
2024-09-27 09:55:00,5813.5,5815.75,5812.5,5815.5,18,25,41
2024-09-27 10:00:00,5814.5,5815.5,5814.5,5814.75,5,25,11
2024-09-27 10:05:00,5816.0,5816.0,5816.0,5816.0,10,25,112
2024-09-27 10:10:00,5816.25,5817.0,5815.25,5816.25,14,25,32
2024-09-27 10:15:00,5816.25,5816.25,5815.0,5815.0,2,25,2
2024-09-27 10:20:00,5813.0,5815.25,5813.0,5814.0,7,25,11
2024-09-27 10:25:00,5813.0,5814.5,5812.0,5814.5,19,25,90
2024-09-27 10:30:00,5814.25,5816.0,5811.5,5816.0,49,25,443
2024-09-27 10:35:00,5813.5,5814.75,5810.25,5810.25,110,25,599
2024-09-27 10:40:00,5810.25,5812.5,5808.75,5810.5,70,25,317
2024-09-27 10:45:00,5810.0,5812.0,5809.5,5811.25,26,25,88
2024-09-27 10:50:00,5809.0,5810.5,5807.75,5810.0,23,25,110
2024-09-27 10:55:00,5810.0,5811.5,5809.0,5811.25,21,25,93
2024-09-27 11:00:00,5811.25,5818.0,5808.25,5813.25,133,25,860
2024-09-27 11:05:00,5813.25,5815.25,5811.25,5813.5,88,25,543
2024-09-27 11:10:00,5812.75,5815.0,5808.75,5814.75,51,25,263
2024-09-27 11:15:00,5814.25,5815.0,5813.0,5813.25,52,25,335
2024-09-27 11:20:00,5813.5,5818.75,5813.5,5818.0,41,25,236
2024-09-27 11:25:00,5819.0,5822.75,5819.0,5819.5,123,25,556
2024-09-27 11:30:00,5819.75,5820.0,5814.5,5814.5,59,25,251
2024-09-27 11:35:00,5814.5,5820.0,5814.5,5819.75,40,25,187
2024-09-27 11:40:00,5819.25,5819.75,5816.0,5817.25,43,25,98
2024-09-27 11:45:00,5817.25,5820.0,5815.75,5816.75,19,25,35
2024-09-27 11:50:00,5816.75,5819.25,5816.75,5819.0,32,25,866
2024-09-27 11:55:00,5818.75,5820.25,5818.25,5818.25,21,25,59
2024-09-27 12:00:00,5818.0,5818.25,5816.5,5816.5,23,25,88
2024-09-27 12:05:00,5818.25,5818.25,5814.5,5815.25,33,25,96
2024-09-27 12:10:00,5815.75,5816.5,5812.75,5815.5,27,25,52
2024-09-27 12:15:00,5813.5,5813.5,5810.25,5810.25,56,25,380
2024-09-27 12:20:00,5811.75,5813.75,5810.5,5811.5,15,25,30
2024-09-27 12:25:00,5812.0,5815.0,5810.75,5813.0,20,25,55
2024-09-27 12:30:00,5811.0,5811.0,5808.75,5810.25,32,25,90
2024-09-27 12:35:00,5810.5,5810.75,5808.75,5810.5,13,25,45
2024-09-27 12:40:00,5809.25,5811.0,5808.0,5811.0,22,25,41
2024-09-27 12:45:00,5812.75,5812.75,5808.5,5808.5,20,25,56
2024-09-27 12:50:00,5808.25,5808.25,5804.75,5805.5,50,25,145
2024-09-27 12:55:00,5807.75,5807.75,5804.25,5804.25,34,25,294
2024-09-27 13:00:00,5804.5,5805.0,5803.0,5804.5,18,25,33
2024-09-27 13:05:00,5804.25,5804.25,5801.25,5801.75,26,25,83
2024-09-27 13:10:00,5801.0,5801.5,5798.5,5799.0,49,25,184
2024-09-27 13:15:00,5801.5,5804.5,5800.5,5800.5,16,25,53
2024-09-27 13:20:00,5800.5,5800.5,5799.75,5799.75,12,25,16
2024-09-27 13:25:00,5799.25,5804.0,5799.0,5803.5,27,25,76
2024-09-27 13:30:00,5802.0,5802.75,5800.5,5801.5,13,25,15
2024-09-27 13:35:00,5803.5,5805.0,5802.25,5803.75,20,25,39
2024-09-27 13:40:00,5802.0,5802.5,5802.0,5802.5,7,25,14
2024-09-27 13:45:00,5801.5,5802.0,5800.0,5800.0,15,25,28
2024-09-27 13:50:00,5800.5,5801.0,5800.0,5800.5,6,25,7
2024-09-27 13:55:00,5802.0,5802.25,5801.0,5801.5,7,25,11
2024-09-27 14:00:00,5803.0,5806.75,5803.0,5805.5,32,25,139
2024-09-27 14:05:00,5805.25,5805.25,5798.0,5799.25,87,25,767
2024-09-27 14:10:00,5798.75,5799.0,5798.75,5799.0,3,25,13
2024-09-27 14:15:00,5799.0,5799.25,5797.75,5797.75,15,25,27
2024-09-27 14:20:00,5798.5,5799.5,5797.75,5799.5,11,25,12
2024-09-27 14:25:00,5799.25,5799.25,5798.0,5798.0,8,25,63
2024-09-27 14:30:00,5797.75,5798.75,5796.5,5798.25,17,25,38
2024-09-27 14:35:00,5798.25,5798.25,5795.5,5795.5,24,25,88
2024-09-27 14:40:00,5795.5,5799.5,5795.5,5799.5,22,25,80
2024-09-27 14:45:00,5800.0,5801.25,5799.5,5801.0,10,25,38
2024-09-27 14:50:00,5800.0,5803.75,5800.0,5802.5,10,25,18
2024-09-27 14:55:00,5802.5,5804.75,5801.5,5804.0,24,25,95
2024-09-27 15:00:00,5805.0,5806.0,5801.5,5802.5,21,25,90
2024-09-27 15:05:00,5801.5,5801.5,5799.5,5801.0,26,25,42
2024-09-27 15:10:00,5800.75,5801.5,5800.25,5800.75,7,25,13
2024-09-27 15:15:00,5800.5,5800.5,5798.5,5798.5,16,25,33
2024-09-27 15:20:00,5799.75,5800.75,5799.25,5799.25,6,25,11
2024-09-27 15:25:00,5799.0,5799.0,5792.25,5792.25,72,25,273
2024-09-27 15:30:00,5792.5,5793.25,5784.5,5790.5,109,25,273
2024-09-27 15:35:00,5790.0,5790.0,5786.75,5789.5,33,25,73
2024-09-27 15:40:00,5789.0,5793.75,5788.25,5792.75,25,25,99
2024-09-27 15:45:00,5795.0,5798.5,5795.0,5798.0,43,25,141
2024-09-27 15:50:00,5798.0,5800.0,5796.5,5797.25,23,25,85
2024-09-27 15:55:00,5799.5,5804.75,5799.0,5802.5,38,25,71
2024-09-27 16:00:00,5801.75,5802.5,5800.0,5801.5,18,25,100
2024-09-27 16:05:00,5802.25,5804.0,5800.5,5800.75,22,25,75
2024-09-27 16:10:00,5801.0,5801.5,5799.25,5801.25,22,25,54
2024-09-27 16:15:00,5800.25,5804.0,5800.25,5802.0,19,25,63
2024-09-27 16:20:00,5801.5,5801.75,5798.5,5799.5,25,25,103
